code,local_code,name,iso_country
AD-02,2,Canillo Parish,AD
AD-03,3,Encamp Parish,AD
AD-04,4,La Massana Parish,AD
AD-05,5,Ordino Parish,AD
AD-06,6,Sant Julià de Lòria Parish,AD
AD-07,7,Andorra la Vella Parish,AD
AD-08,8,Escaldes-Engordany Parish,AD
AE-AJ,AJ,Ajman Emirate,AE
AE-AZ,AZ,Abu Dhabi Emirate,AE
AE-DU,DU,Dubai Emirate,AE
AE-FU,FU,Fujairah Emirate,AE
AE-RK,RK,Ras al-Khaimah Emirate,AE
AE-SH,SH,Sharjah Emirate,AE
AE-UQ,UQ,Umm al-Quwain Emirate,AE
AF-BAL,BAL,Balkh Province,AF
AF-BAM,BAM,Bamiyan Province,AF
AF-BDG,BDG,Badghis Province,AF
AF-BDS,BDS,Badakhshan Province,AF
AF-BGL,BGL,Baghlan Province,AF
AF-DAY,DAY,Daykundi Province,AF
AF-FRA,FRA,Farah Province,AF
AF-FYB,FYB,Faryab Province,AF
AF-GHA,GHA,Ghazni Province,AF
AF-GHO,GHO,Ghōr Province,AF
AF-HEL,HEL,Helmand Province,AF
AF-HER,HER,Herat Province,AF
AF-JOW,JOW,Jowzjan Province,AF
AF-KAB,KAB,Kabul Province,AF
AF-KAN,KAN,Kandahar Province,AF
AF-KAP,KAP,Kapisa Province,AF
AF-KDZ,KDZ,Kunduz Province,AF
AF-KHO,KHO,Khost Province,AF
AF-KNR,KNR,Kunar Province,AF
AF-LAG,LAG,Laghman Province,AF
AF-LOW,LOW,Logar Province,AF
AF-NAN,NAN,Nangarhar Province,AF
AF-NIM,NIM,Nimruz Province,AF
AF-NUR,NUR,Nurestan Province,AF
AF-ORU,ORU,Orūzgān Province,AF
AF-PAN,PAN,Panjshir Province,AF
AF-PAR,PAR,Parwan Province,AF
AF-PIA,PIA,Paktia Province,AF
AF-PKA,PKA,Paktika Province,AF
AF-SAM,SAM,Samangan Province,AF
AF-SAR,SAR,Sar-e Pol Province,AF
AF-TAK,TAK,Takhar Province,AF
AF-WAR,WAR,Wardak Province,AF
AF-ZAB,ZAB,Zabul Province,AF
AG-03,3,Saint George Parish,AG
AG-04,4,Saint John Parish,AG
AG-05,5,Saint Mary Parish,AG
AG-06,6,Saint Paul Parish,AG
AG-07,7,Saint Peter Parish,AG
AG-08,8,Saint Philip Parish,AG
AG-10,10,Barbuda Dependency,AG
AG-11,11,Redonda Dependency,AG
AL-01,1,Berat County,AL
AL-02,2,Durrës County,AL
AL-03,3,Elbasan County,AL
AL-04,4,Fier County,AL
AL-05,5,Gjirokastër County,AL
AL-06,6,Korçë County,AL
AL-07,7,Kukës County,AL
AL-08,8,Lezhë County,AL
AL-09,9,Dibër County,AL
AL-10,10,Shkodër County,AL
AL-11,11,Tirana County,AL
AL-12,12,Vlorë County,AL
AM-AG,AG,Aragatsotn Province,AM
AM-AR,AR,Ararat Province,AM
AM-AV,AV,Armavir Province,AM
AM-ER,ER,Yerevan (capital district),AM
AM-GR,GR,Gegharkunik Province,AM
AM-KT,KT,Kotayk Province,AM
AM-LO,LO,Lori Province,AM
AM-SH,SH,Shirak Province,AM
AM-SU,SU,Syunik Province,AM
AM-TV,TV,Tavush Province,AM
AM-VD,VD,Vayots Dzor Province,AM
AO-BGO,BGO,Bengo Province,AO
AO-BGU,BGU,Benguela Province,AO
